Timestamp,Discord username,Seeking,Organization,Intern Type,Start date,End date,Newsletter,Status,Portal
11/9/2023 12:38:37,flying_beast1,Full time,AWS CloudWatch Logs,First-time,6/26/2023,9/22/2023,No,Waiting,ASP
11/9/2023 12:43:53,Kiritoツ,Full time,Seller Fees Sciencs & Tech,First-time,5/8/2023,8/25/2023,Yes,Waiting,ASP
11/9/2023 12:46:00,ana.tole,Full time,GFS,First-time,6/5/2023,8/25/2023,Yes,Offer,ECT
11/9/2023 12:52:02,Chuks,Full time,Alexa ,First-time,6/12/2023,9/22/2023,No,Waiting,ASP
11/9/2023 12:55:55,Sylvia,Full time,SPS,First-time,6/5/2023,9/8/2023,No,Waiting,ASP
11/9/2023 13:12:00,goldenlotad,Full time,books (kindle content),First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
11/9/2023 13:20:56,,Full time,legal,First-time,1/17/2023,4/21/2023,Yes,Waiting,ASP
11/9/2023 13:26:57,Skinso,Full time,Devices,Returning,4/15/2022,8/5/2022,No,Offer,ASP
11/9/2023 13:51:40,,Full time,Alexa,First-time,5/29/2023,8/28/2023,No,Waiting,ASP
11/9/2023 13:58:03,bibs227,Full time,AWS Lambda,Returning,5/22/2023,8/11/2023,Yes,Waiting,ECT
11/9/2023 14:33:00,Lei,Full time,SCOT,First-time,5/1/2023,8/18/2023,Yes,Waiting,ASP
11/9/2023 14:35:58,,Internship,Alexa,First-time,5/30/2023,8/18/2023,No,Portal Update,ASP
11/9/2023 14:43:58,JacksonUM,Full time,AWS Billing,First-time,5/11/2023,8/9/2023,Yes,Waiting,ASP
11/9/2023 14:54:23,pollsmor,Full time,Shopbop,First-time,5/30/2023,8/18/2023,Yes,Waiting,ASP
11/9/2023 16:18:09,melon_tree,Full time,ASCS,Returning,6/12/2023,9/1/2023,Yes,Waiting,ASP
11/9/2023 18:02:02,hunnybeunchies,Full time,WWRO/Salesforce,First-time,5/22/2023,8/11/2023,Yes,Waiting,ASP
11/10/2023 16:06:32,TrainerNoob,Internship,ASCS,Returning,5/30/2023,8/18/2023,No,Offer,ASP
11/11/2023 8:13:08,gvk_gali,Full time,Amazon Kindle - SPIDER org,First-time,5/15/2023,8/4/2023,No,Waiting,ASP
11/11/2023 11:10:28,Trade#3431,Internship,AWS - DCS,First-time,6/5/2023,8/25/2023,Yes,Waiting,ASP
11/13/2023 12:01:28,varloiesu,Internship,AWS Galaxy,First-time,5/23/2023,8/11/2023,No,Waiting,ASP
11/13/2023 15:55:36,bmar69,Full time,Serverless Compute - EC2,First-time,5/8/2023,8/25/2023,Yes,Portal Update,ASP
11/13/2023 13:32:35,cookie monster ,Full time,SCOT,First-time,6/17/2023,9/8/2023,Yes,Waiting,ASP
11/13/2023 13:42:15,a,Full time,Redshift,First-time,5/8/2023,8/25/2023,Yes,Waiting,ASP
11/13/2023 14:19:36,,Full time,Kindle,First-time,5/15/2023,7/7/2023,Yes,Waiting,ASP
11/13/2023 15:28:21,parthexe,Full time,AWS Payments,First-time,5/8/2023,8/25/2023,Yes,Portal Update,ASP
11/13/2023 15:55:18,: D,Full time,AWS Commerce Platform,First-time,5/15/2023,8/4/2023,Yes,Portal Update,ASP
11/13/2023 15:55:22,shrimpi,Full time,AWS EC2 Nitro core,First-time,6/5/2023,8/25/2023,Yes,Waiting,ASP
11/13/2023 15:55:34,,Internship,AWS,First-time,5/20/2023,8/20/2023,Yes,Waiting,ASP
11/13/2023 15:56:01,junniee,Full time,AWS Region Services,First-time,6/5/2023,8/25/2023,Yes,Portal Update,ASP
11/13/2023 15:56:30,fatherflex,Full time,AWS Billing,Returning,6/26/2023,9/15/2023,No,Portal Update,ASP
11/13/2023 15:57:00,willk07,Full time,amazon connect,First-time,5/30/2023,8/18/2023,Yes,Portal Update,ASP
11/13/2023 15:57:30,TokyoToronto,Full time,Books Org,First-time,5/30/2023,8/11/2023,Yes,Waiting,ASP
11/13/2023 15:57:48,zhettsu,Full time,Transactional Services,First-time,1/17/2023,8/18/2023,Yes,Portal Update,ASP
11/13/2023 15:57:54,sg17,Full time,AWS Braket,Returning,5/30/2023,8/18/2023,No,Portal Update,ASP
11/13/2023 15:58:38,topflrbss,Full time,Music Sequencing Team,Returning,5/30/2023,8/18/2023,Yes,Waiting,ASP
11/13/2023 16:00:23,cjwagn1,Full time,AWS EC2,Returning,5/29/2023,8/18/2023,Yes,Portal Update,ASP
11/13/2023 16:00:25,lowki,Full time,AWS S3,First-time,5/22/2023,8/11/2023,Yes,Portal Update,ASP
11/13/2023 16:04:57,nahuk_,Full time,AWS Builder Tools,Returning,5/22/2023,8/11/2023,Yes,Portal Update,ASP
11/13/2023 16:05:04,murielxun,Full time,AWS Braket,First-time,5/22/2023,8/11/2023,Yes,Portal Update,ASP
11/13/2023 16:05:56,roomiestgrain,Full time,AWS Marketplace,First-time,5/22/2023,8/11/2023,No,Portal Update,ASP
11/13/2023 16:06:03,bedrock_titan,Full time,AWS Connect,First-time,5/22/2023,8/11/2023,Yes,Portal Update,ASP
11/13/2023 16:06:46,lingqingran,Full time,AWS EKS,First-time,5/30/2023,8/18/2023,Yes,Portal Update,ASP
,@deviralvirus,Internship,Ordering,First Time Intern,5/15/2023,8/4/2023,Yes,Waiting,ASP
,destinyCyrus06,Full Time,SPS,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,ASP
,,Full Time,SPS,First Time Intern,5/22/2023,8/25/2023,Yes,Waiting ,
,@bettania,Intern,devices,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,_vokes,Intern,AWS Lambda,First Time Intern,5/30/2023,8/18/2023,Yes,Waiting ,ASP
,,Full Time,PIES,Return Intern,6/12/2023,9/1/2023,No,Waiting ,
,chillingdoge,Intern,idk,Return Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,Salmon,Full Time,AWS NGDE,Return Intern,5/15/2023,8/4/2023,Yes,Waiting ,ASP
,danieltruongg,Full Time,AWS BE MORE PRECISE AWS PPL,First Time Intern,5/30/2023,8/4/2023,Yes,Waiting ,
,crocs,Full Time,PXT Workforce Solutions,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,pnsdev,Full Time,AFT,Return Intern,5/22/2023,8/11/2023,Yes,Waiting ,ASP
,Shriya,Full Time,AWS EC2,First Time Intern,6/5/2023,8/25/2023,Yes,Waiting ,
,阿q,Full Time,Ads,Return Intern,5/15/2023,9/1/2023,No,Waiting ,
,mirage450,Full Time,AWS SUPPORT ENGINEERING,First Time Intern,5/15/2023,8/4/2023,Yes,Waiting ,
,bobsherman19,Full Time,Alexa Music Search,Return Intern,5/30/2023,8/18/2023,Yes,Waiting ,
,Oooweee,Full Time,Devices,First Time Intern,6/26/2023,9/15/2023,No,Waiting ,ASP
,parker,Full Time,AWS ???,First Time Intern,5/8/2023,7/28/2023,Yes,Waiting ,
,lingqingran,Full Time,AWS EKS,First Time Intern,5/30/2023,8/18/2023,Yes,Waiting ,
,Jameson,Full Time,AWS DEVOPS,First Time Intern,9/12/2022,12/2/2022,No,Waiting ,ASP
,KKL,Full Time,Legal,First Time Intern,1/17/2023,4/21/2023,Yes,Waiting ,
,Chris03,Intern,AWS CloudWatch Logs,First Time Intern,5/15/2023,8/4/2023,Yes,Waiting ,
